DATE,LIBOR,CPI,IR,UNEMP,MR,HPI,rGDP
1993-01,0.032191405000000006,0.0035137034434293835,0.03,0.07304687174398639,0.079925,0.0013954276920669084,-0.001914736638691683
1993-02,0.031515625,0.0021008403361342243,0.03,0.072750260317617,0.076825,0.0007162764045531844,0.0019626735371209847
1993-03,0.031875,0.0013976240391335715,0.03,0.0715588952133615,0.07495,0.00037740268866848226,-0.0030925979464819786
1993-04,0.03163672,0.0034891835310537633,0.03,0.0720386937719501,0.07472,0.0008585924287758395,0.0035641412049856047
1993-05,0.03147204210526316,0.0027816411682890507,0.03,0.0718350215806013,0.07465,0.0013127794530514159,0.005686142872572741
1993-06,0.03211647727272727,0.0006934812760057696,0.03,0.0712043747772676,0.07417499999999999,0.002661058971663355,-8.212810341468035e-06
1993-07,0.03171875,0.001386001386001201,0.03,0.06984159060539731,0.07206,0.002446855337769449,-0.0026541283399036386
1993-08,0.031875,0.0020761245674740803,0.03,0.0688780284804479,0.071125,0.002363394506076144,0.004293674679238579
1993-09,0.03165838181818181,0.0013812154696131174,0.03,0.0683297980023847,0.06915,0.002357822042415192,0.008347434593786396
1993-10,0.031875,0.004137931034482678,0.03,0.0697404424668444,0.06834000000000001,0.001940948879777249,-0.0013361967859133461
1993-11,0.03207031363636363,0.0027472527472527375,0.03,0.0669995295534984,0.07155,0.0027325909580744323,0.010648758112908219
1993-12,0.033270080952380945,0.00205479452054802,0.03,0.0661572506048198,0.07172000000000002,0.0022005859699849584,0.0017013138985599863
1994-01,0.031468750000000004,0.0,0.03,0.06687484350741679,0.0706,0.003370227107349244,0.00029202463401034606
1994-02,0.033851565,0.002734107997265811,0.03,0.06632510774379621,0.071525,0.0017430690738833299,0.005943213667051195
1994-03,0.03623641739130435,0.0027266530334015826,0.03,0.0660803772492608,0.07675,0.0016130261386442246,0.0025811880905040052
1994-04,0.03839638421052632,0.0006798096532969478,0.03,0.0645815881597205,0.08315999999999998,0.0016991922496545353,0.0031882299610004328
1994-05,0.04334374999999999,0.0020380434782609758,0.032400000000000005,0.061290474940586995,0.085975,0.002974871827330805,0.011075963070409811
1994-06,0.04380681818181818,0.0027118644067796183,0.035,0.0611314315602769,0.08397500000000001,0.0025621607976777927,-0.001956086754276609
